Correlation: 0.13353297631000666, P-value: 0.0031523645579715257

MAE: 0.08429215021229156, MSE: 0.01133288816531259

                                                                                            name  value_for_money
                                                                                Pod Times Square         0.048521
                                                                                    Park Central         0.071667
                                                                                          Pod 51         0.055629
                                                                        Conrad New York Downtown         0.014853
                                                                                The Whitby Hotel         0.007162
                                                                                    Empire Hotel         0.052830
                                                                    Millennium Downtown New York         0.033463
                                                                              The Manhattan Club         0.022047
                                                                        Hard Rock Hotel New York         0.018142
                                                                    Paramount Hotel Times Square         0.078505
                                                                              Ace Hotel New York         0.034677
                                                                             Roxy Hotel New York         0.018667
                                                                Jw Marriott Essex House New York         0.013548
                                                                            The New York Edition         0.006131
                                                             Hyatt Centric Times Square New York         0.024490
                                                                         Conrad New York Midtown         0.013110
                                                                              Park Lane New York         0.018777
                                                                          Gansevoort Meatpacking         0.015985
                                                                                 Park West Hotel         0.102500
                                                                                    Ink 48 Hotel         0.023464
                                                             The Benjamin Royal Sonesta New York         0.037229
                                            Intercontinental New York Times Square, An Ihg Hotel         0.041379
                                                                       Refinery Hotel - New York         0.015560
                                                                                  The Jane Hotel         0.038356
                                                                                      The Mercer         0.023596
                                                                                  Civilian Hotel         0.022047
                                                                                    Pod Brooklyn         0.049123
                                                                             The Greenwich Hotel         0.013681
                                                                         Washington Square Hotel         0.024855
                                                                      The James New York - Nomad         0.019114
                                                                    Loews Regency New York Hotel         0.003160
                                                                       33 Seaport Hotel New York         0.045503
                                                       The Lexington Hotel, Autograph Collection         0.027986
                                                                                          Pod 39         0.056376
                                           Intercontinental New York Barclay Hotel, An Ihg Hotel         0.043077
                                                           Hotel 50 Bowery, Part Of Jdv By Hyatt         0.033198
                                                                                        Hotel 57         0.035193
                                                                 Riu Plaza New York Times Square         0.041624
                                                             Bklyn House Hotel New York Brooklyn         0.056376
                                                            M Social Hotel Times Square New York         0.050292
                                                                                   Hotel Lucerne         0.021608
                                                                              Hotel Pennsylvania         0.025625
                                                                              The Kimberly Hotel         0.033205
                                                              Renaissance New York Chelsea Hotel         0.043386
                                                                               Bryant Park Hotel         0.027129
                                                               The Times Square Edition New York         0.006613
                                                                                        The Time         0.066142
                                          Holiday Inn Manhattan Financial District, An Ihg Hotel         0.043386
                                                                         Dream Midtown, By Hyatt         0.054088
                                                                  Hotel Belleclaire Central Park         0.023562
